@relation cloneEval

@attribute numInstance real
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,false,1.0,24,145,false,0,0.5,0.0,false,true,7,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,0.0,0.0036684626848561275,0.0017195918835263098,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,17,0.0,0.11764705882352941,0.17647058823529413,0.0,refactored
2,false,1.0,24,145,false,0,0.5,0.0,false,true,7,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,0.0,0.0036684626848561275,0.0017195918835263098,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,17,0.0,0.11764705882352941,0.17647058823529413,0.0,refactored
2,true,0.42592592592592593,23,131,true,5,0.13333333333333333,0.0,true,false,5,0.10008024762123123,0.06666666666666667,0.0016049524246245558,2.2927891780350797E-4,0.008024762123122779,0.0022927891780350797,4.5855783560701593E-4,0.09847529519660667,0.0011463945890175398,4.5855783560701593E-4,0.0,19,0.0,0.0,0.3684210526315789,0.0,refactored
2,false,1.0,21,157,false,0,0.4375,0.0,false,true,5,0.10008024762123123,0.013333333333333334,2.2927891780350797E-4,0.0,0.0037831021437578815,0.0018342313424280637,2.2927891780350797E-4,0.09985096870342772,0.0,2.2927891780350797E-4,0.0,28,0.0,0.10714285714285714,0.17857142857142858,0.0,refactored
2,true,0.2923076923076923,19,106,true,2,0.75,0.0,true,false,9,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,0.0,0.0011463945890175398,1.1463945890175398E-4,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,14,0.0,0.0,0.2857142857142857,0.0,refactored
3,false,1.0,32,208,false,0,0.6086956521739131,0.0,false,true,6,0.10008024762123123,0.013333333333333334,2.2927891780350797E-4,0.0,0.0025220680958385876,6.878367534105239E-4,2.2927891780350797E-4,0.09985096870342772,0.0,0.0,2.2927891780350797E-4,81,0.41975308641975306,0.09876543209876543,0.18518518518518517,0.012345679012345678,refactored
4,false,1.0,43,304,false,0,0.5,0.0,false,true,8,0.10008024762123123,0.013333333333333334,3.4391837670526195E-4,0.0,0.0025220680958385876,6.878367534105239E-4,3.4391837670526195E-4,0.09973632924452597,0.0,0.0,0.0,148,0.7364864864864865,0.10810810810810811,0.20270270270270271,0.02702702702702703,refactored
3,false,1.0,60,422,false,0,0.4318181818181818,0.0,false,true,9,0.10008024762123123,0.013333333333333334,3.4391837670526195E-4,0.0,0.0025220680958385876,6.878367534105239E-4,3.4391837670526195E-4,0.09973632924452597,0.0,0.0,3.4391837670526195E-4,57,0.2807017543859649,0.08771929824561403,0.14035087719298245,0.017543859649122806,refactored
9,false,1.0,17,114,false,0,0.5,0.0,false,true,5,0.10008024762123123,0.013333333333333334,2.2927891780350797E-4,0.0,0.0025220680958385876,6.878367534105239E-4,2.2927891780350797E-4,0.09985096870342772,0.0,0.0,0.0,93,0.7419354838709677,0.10752688172043011,0.22580645161290322,0.053763440860215055,refactored
3,true,0.29357798165137616,32,180,true,11,0.0,0.0,true,false,9,0.10008024762123123,0.04,0.0012610340479192938,6.878367534105239E-4,0.0021781497191333257,0.0010317551301157859,2.2927891780350797E-4,0.09870457411441018,9.171156712140319E-4,2.2927891780350797E-4,2.2927891780350797E-4,23,0.34782608695652173,0.0,0.30434782608695654,0.0,refactored
2,false,0.9908256880733946,108,633,true,28,0.0625,0.025,false,false,7,0.10008024762123123,0.04,0.0012610340479192938,6.878367534105239E-4,0.0021781497191333257,0.0010317551301157859,3.4391837670526195E-4,0.09881921357331193,9.171156712140319E-4,3.4391837670526195E-4,0.0,107,0.0,0.056074766355140186,0.21495327102803738,0.0,refactored
2,false,0.7614678899082569,83,493,true,18,0.05263157894736842,0.0,false,false,5,0.10008024762123123,0.04,0.0012610340479192938,6.878367534105239E-4,0.0021781497191333257,0.0010317551301157859,3.4391837670526195E-4,0.09881921357331193,9.171156712140319E-4,3.4391837670526195E-4,0.0,83,0.0,0.04819277108433735,0.1927710843373494,0.0,refactored
3,true,0.05042016806722689,12,111,true,3,0.3333333333333333,0.0,true,false,8,0.10008024762123123,0.04,0.0010317551301157859,2.2927891780350797E-4,0.0022927891780350797,4.5855783560701593E-4,0.0010317551301157859,0.09904849249111544,0.0,0.0,0.0010317551301157859,60,0.2833333333333333,0.06666666666666667,0.21666666666666667,0.03333333333333333,refactored
2,true,0.21212121212121213,42,307,true,9,0.2857142857142857,0.0,true,false,6,0.017425197753066606,0.013333333333333334,2.2927891780350797E-4,1.1463945890175398E-4,0.0035538232259543735,0.0014903129657228018,1.1463945890175398E-4,0.0373724636019718,8.024762123122779E-4,1.1463945890175398E-4,0.0,0,-1,-1,-1,-1,refactored
2,true,0.09195402298850575,16,112,false,0,0.375,0.0,true,false,7,0.10008024762123123,0.04,9.171156712140319E-4,2.2927891780350797E-4,0.010776109136764874,0.0024074286369368337,9.171156712140319E-4,0.09916313195001719,0.0,9.171156712140319E-4,0.0,62,0.0,0.12903225806451613,0.1935483870967742,0.03225806451612903,refactored
4,true,0.12698412698412698,8,66,false,1,0.0,0.3333333333333333,false,false,6,0.10008024762123123,0.08,0.0010317551301157859,2.2927891780350797E-4,0.005044136191677175,0.0016049524246245558,0.0010317551301157859,0.09904849249111544,0.0,0.0,0.0,39,0.6666666666666666,0.10256410256410256,0.15384615384615385,0.0,refactored
4,true,0.12698412698412698,8,66,false,1,0.0,0.3333333333333333,false,false,6,0.10008024762123123,0.08,0.0010317551301157859,2.2927891780350797E-4,0.005044136191677175,0.0016049524246245558,0.0010317551301157859,0.09904849249111544,0.0,0.0,0.0,39,0.6666666666666666,0.10256410256410256,0.15384615384615385,0.0,refactored
2,false,1.0,31,231,false,0,0.5,0.09090909090909091,false,true,2,0.10008024762123123,0.02666666666666667,2.2927891780350797E-4,1.1463945890175398E-4,0.0011463945890175398,3.4391837670526195E-4,2.2927891780350797E-4,0.09985096870342772,0.0,2.2927891780350797E-4,0.0,28,0.0,0.07142857142857142,0.2857142857142857,0.03571428571428571,refactored
2,false,1.0,18,123,false,1,0.4375,0.0,false,true,4,0.0010317551301157859,0.0,0.0,0.0,2.2927891780350797E-4,0.0,0.0,0.0010317551301157859,0.0,0.0,0.0,3,0.0,0.3333333333333333,0.3333333333333333,0.0,refactored
2,false,0.6111111111111112,11,83,false,0,0.3333333333333333,0.0,false,true,3,0.0010317551301157859,0.0,0.0,0.0,2.2927891780350797E-4,0.0,0.0,0.0010317551301157859,0.0,0.0,0.0,2,0.0,0.5,0.0,0.0,refactored
2,true,0.10569105691056911,13,82,true,4,0.08333333333333333,0.0,true,false,2,0.10008024762123123,0.08,0.0012610340479192938,4.5855783560701593E-4,0.006993006993006993,0.0019488708013298177,0.0012610340479192938,0.09881921357331193,0.0,0.0012610340479192938,0.0,0,-1,-1,-1,-1,refactored
2,true,0.19607843137254902,10,86,true,2,0.2222222222222222,0.0,true,false,2,0.10008024762123123,0.10666666666666667,0.0021781497191333257,6.878367534105239E-4,0.007680843746417517,0.0021781497191333257,0.0021781497191333257,0.0979020979020979,0.0,0.0021781497191333257,0.0,1,0.0,0.0,0.0,0.0,refactored
2,true,0.1504424778761062,17,81,true,2,0.3,0.0,true,false,6,0.10008024762123123,0.09333333333333334,0.0014903129657228018,3.4391837670526195E-4,0.00894187779433681,0.0026367075547403416,0.0014903129657228018,0.09858993465550843,0.0,0.0014903129657228018,0.0,0,-1,-1,-1,-1,refactored
2,true,0.1945945945945946,36,211,true,2,0.5,0.05,true,false,9,0.10008024762123123,0.06666666666666667,0.0017195918835263098,2.2927891780350797E-4,0.010546830218961366,0.0028659864725438496,0.0017195918835263098,0.09836065573770492,0.0,0.0017195918835263098,0.0,42,0.0,0.09523809523809523,0.047619047619047616,0.0,refactored
2,true,0.25405405405405407,47,254,true,4,0.4583333333333333,0.041666666666666664,true,false,9,0.10008024762123123,0.06666666666666667,0.0017195918835263098,2.2927891780350797E-4,0.010546830218961366,0.0028659864725438496,0.0017195918835263098,0.09836065573770492,0.0,0.0017195918835263098,0.0,42,0.0,0.09523809523809523,0.047619047619047616,0.0,refactored
2,true,0.25405405405405407,47,254,true,4,0.4583333333333333,0.041666666666666664,true,false,9,0.10008024762123123,0.06666666666666667,0.0017195918835263098,2.2927891780350797E-4,0.010546830218961366,0.0028659864725438496,0.0017195918835263098,0.09836065573770492,0.0,0.0017195918835263098,0.0,42,0.0,0.09523809523809523,0.047619047619047616,0.0,refactored
2,true,0.0918918918918919,17,108,false,0,0.625,0.0,true,false,8,0.10008024762123123,0.06666666666666667,0.0017195918835263098,2.2927891780350797E-4,0.010546830218961366,0.0028659864725438496,0.0017195918835263098,0.09836065573770492,0.0,0.0017195918835263098,0.0,0,-1,-1,-1,-1,refactored
2,false,1.0,25,164,false,2,0.45,0.0,false,true,5,0.10008024762123123,0.0,0.0,0.0,4.5855783560701593E-4,4.5855783560701593E-4,0.0,0.10008024762123123,0.0,0.0,0.0,33,0.0,0.18181818181818182,0.15151515151515152,0.0,refactored
2,true,0.22549019607843138,23,154,true,1,0.46153846153846156,0.0,false,false,15,0.10008024762123123,0.0,0.0,0.0,0.0014903129657228018,4.5855783560701593E-4,0.0,0.10008024762123123,0.0,0.0,0.0,33,0.0,0.09090909090909091,0.21212121212121213,0.0,unrefactored
2,false,1.0,30,125,true,5,0.07692307692307693,0.0,false,false,3,0.07222285910810501,0.08,0.0020635102602315717,9.171156712140319E-4,0.007107646451908747,0.0025220680958385876,0.0020635102602315717,0.07015934884787343,0.0,0.0020635102602315717,0.0,20,0.0,0.05,0.25,0.0,unrefactored
6,false,1.0,19,127,false,1,0.6428571428571429,0.0,false,true,1,0.08414536283388742,0.0,0.0,0.0,8.024762123122779E-4,1.1463945890175398E-4,0.0,0.08414536283388742,0.0,0.0,0.0,74,0.527027027027027,0.12162162162162163,0.13513513513513514,0.02702702702702703,unrefactored
3,false,1.0,14,75,true,3,0.25,0.0,false,false,3,1.1463945890175398E-4,0.0,0.0,0.0,0.0,0.0,0.0,1.1463945890175398E-4,0.0,0.0,0.0,16,0.375,0.0625,0.25,0.0,unrefactored
2,true,0.5,57,274,true,2,0.4230769230769231,0.07692307692307693,true,true,7,0.023386449615957813,0.0,0.0,0.0,0.0012610340479192938,0.0,0.0,0.10008024762123123,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,false,1.0,25,163,true,7,0.2727272727272727,0.0,false,false,1,0.0560586954029577,0.06666666666666667,0.0024074286369368337,1.1463945890175398E-4,0.009056517253238566,0.0010317551301157859,0.0,0.05365126676602087,0.0024074286369368337,0.0,0.0,15,0.0,0.0,0.4666666666666667,0.0,unrefactored
2,false,0.9895833333333334,95,417,true,23,0.11940298507462686,0.0,false,false,10,1.1463945890175398E-4,0.0,0.0,0.0,1.1463945890175398E-4,1.1463945890175398E-4,0.0,0.0032099048492491115,1.1463945890175398E-4,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,false,1.0,25,203,true,4,0.16666666666666666,0.0,false,false,9,0.07233749856700676,0.02666666666666667,3.4391837670526195E-4,0.0,0.0022927891780350797,2.2927891780350797E-4,2.2927891780350797E-4,0.0719935801903015,1.1463945890175398E-4,2.2927891780350797E-4,0.0,17,0.0,0.058823529411764705,0.35294117647058826,0.0,unrefactored
4,false,1.0,14,147,true,5,0.2857142857142857,0.0,false,false,4,0.061905307806947155,0.02666666666666667,2.2927891780350797E-4,0.0,4.5855783560701593E-4,0.0,2.2927891780350797E-4,0.06167602888914364,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,unrefactored
2,true,0.18333333333333332,11,88,false,0,0.3333333333333333,0.0,false,false,7,0.009858993465550843,0.02666666666666667,2.2927891780350797E-4,1.1463945890175398E-4,0.0013756735068210478,5.731972945087699E-4,0.0,0.009515075088845582,3.4391837670526195E-4,0.0,0.0,35,0.0,0.05714285714285714,0.2857142857142857,0.05714285714285714,unrefactored
2,false,0.7352941176470589,25,182,true,3,0.2857142857142857,0.0,false,true,5,0.10008024762123123,0.0,0.0,0.0,0.0038977416026596354,9.171156712140319E-4,0.0,0.09996560816232948,1.1463945890175398E-4,0.0,0.0,6,0.0,0.3333333333333333,0.0,0.0,unrefactored
2,true,0.07534246575342465,11,89,true,3,0.2727272727272727,0.0,true,false,6,0.10008024762123123,0.02666666666666667,5.731972945087699E-4,2.2927891780350797E-4,0.004470938897168405,0.0010317551301157859,3.4391837670526195E-4,0.09950705032672245,2.2927891780350797E-4,3.4391837670526195E-4,0.0,0,-1,-1,-1,-1,unrefactored
2,false,1.0,26,153,false,0,0.35294117647058826,0.0,false,true,5,0.016049524246245558,0.013333333333333334,4.5855783560701593E-4,0.0,0.0013756735068210478,4.5855783560701593E-4,0.0,0.015590966410638542,4.5855783560701593E-4,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,true,0.5555555555555556,10,97,true,1,0.5,0.0,true,true,3,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,1.1463945890175398E-4,0.0011463945890175398,0.0010317551301157859,0.0,0.09996560816232948,1.1463945890175398E-4,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,false,1.0,43,152,true,9,0.19230769230769232,0.0,false,false,2,0.10008024762123123,0.05333333333333334,0.0010317551301157859,3.4391837670526195E-4,0.006763728075203485,0.0027513470136420956,0.0010317551301157859,0.09904849249111544,0.0,0.0010317551301157859,0.0,17,0.0,0.35294117647058826,0.29411764705882354,0.0,unrefactored
3,false,0.3888888888888889,7,25,true,2,0.2,0.0,false,false,2,0.0029806259314456036,0.0,0.0,0.0,1.1463945890175398E-4,0.0,0.0,0.019030150177691163,0.0010317551301157859,0.0,0.0,0,-1,-1,-1,-1,unrefactored
3,true,0.6666666666666666,10,73,true,2,0.375,0.0,true,true,3,0.02074974206121747,0.013333333333333334,1.1463945890175398E-4,0.0,4.5855783560701593E-4,0.0,0.0,0.021322939355726243,1.1463945890175398E-4,0.0,0.0,5,1.0,0.0,1.0,0.0,unrefactored
4,false,0.2345679012345679,19,99,true,1,0.4,0.0,false,true,3,0.08013298177232603,0.05333333333333334,0.0013756735068210478,1.1463945890175398E-4,0.007451564828614009,5.731972945087699E-4,0.0013756735068210478,0.07875730826550499,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,false,1.0,9,64,false,0,0.2857142857142857,0.0,false,true,0,0.10008024762123123,0.013333333333333334,3.4391837670526195E-4,0.0,5.731972945087699E-4,0.0,3.4391837670526195E-4,0.09973632924452597,0.0,3.4391837670526195E-4,0.0,13,0.0,0.0,0.23076923076923078,0.0,unrefactored
2,false,0.9932885906040269,148,695,true,53,0.0,0.03636363636363636,false,false,4,0.10008024762123123,0.013333333333333334,3.4391837670526195E-4,1.1463945890175398E-4,0.005158775650578929,9.171156712140319E-4,2.2927891780350797E-4,0.09962168978562422,2.2927891780350797E-4,2.2927891780350797E-4,0.0,0,-1,-1,-1,-1,unrefactored
2,false,1.0,20,133,false,0,0.5,0.0,false,false,8,1.1463945890175398E-4,0.0,0.0,0.0,1.1463945890175398E-4,1.1463945890175398E-4,0.0,0.02384500745156483,0.0019488708013298177,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,true,0.6666666666666666,16,84,true,2,0.23076923076923078,0.0,true,true,4,0.08494783904619971,0.0,0.0,0.0,0.0028659864725438496,1.1463945890175398E-4,0.0,0.09973632924452597,3.4391837670526195E-4,0.0,0.0,8,0.0,0.0,0.125,0.0,unrefactored
2,true,0.12135922330097088,25,145,false,0,0.6666666666666666,0.0,true,false,8,0.07566204287515763,0.05333333333333334,0.0020635102602315717,0.0011463945890175398,0.0034391837670526195,0.0019488708013298177,0.0020635102602315717,0.07359853261492606,0.0,0.0020635102602315717,0.0,12,0.0,0.0,0.4166666666666667,0.0,unrefactored
2,false,1.0,9,58,false,0,0.42857142857142855,0.14285714285714285,false,true,2,8.024762123122779E-4,0.0,0.0,0.0,0.0,0.0,0.0,8.024762123122779E-4,0.0,0.0,0.0,3,0.0,0.0,0.3333333333333333,0.0,unrefactored
4,false,0.9807692307692307,51,227,true,7,0.3076923076923077,0.0,false,false,13,0.011693224807978906,0.013333333333333334,2.2927891780350797E-4,1.1463945890175398E-4,4.5855783560701593E-4,1.1463945890175398E-4,2.2927891780350797E-4,0.06866903588215063,0.0,4.5855783560701593E-4,0.0,63,0.9523809523809523,0.1111111111111111,0.25396825396825395,0.031746031746031744,unrefactored
2,false,1.0,10,71,false,0,0.4444444444444444,0.0,false,false,1,1.1463945890175398E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0010317551301157859,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,true,0.3875968992248062,50,328,true,3,0.48484848484848486,0.0,true,false,11,0.009515075088845582,0.013333333333333334,1.1463945890175398E-4,0.0,6.878367534105239E-4,2.2927891780350797E-4,1.1463945890175398E-4,0.009400435629943827,0.0,1.1463945890175398E-4,0.0,45,0.0,0.1111111111111111,0.15555555555555556,0.044444444444444446,unrefactored
2,true,0.4642857142857143,13,96,true,3,0.0,0.0,true,false,7,0.029806259314456036,0.0,0.0,0.0,5.731972945087699E-4,0.0,0.0,0.03186976957468761,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
3,false,1.0,20,144,true,4,0.2222222222222222,0.0,false,false,3,0.10008024762123123,0.0,0.0,0.0,0.005388054568382437,0.0022927891780350797,0.0,0.09996560816232948,1.1463945890175398E-4,0.0,0.0,46,0.2391304347826087,0.043478260869565216,0.2826086956521739,0.021739130434782608,unrefactored
2,false,0.16901408450704225,12,90,false,0,0.375,0.0,false,false,7,0.08231113149145936,0.013333333333333334,2.2927891780350797E-4,0.0,0.0035538232259543735,4.5855783560701593E-4,2.2927891780350797E-4,0.08208185257365586,0.0,2.2927891780350797E-4,0.0,0,-1,-1,-1,-1,unrefactored
2,false,1.0,20,123,true,5,0.15384615384615385,0.0,false,false,1,0.10008024762123123,0.02666666666666667,4.5855783560701593E-4,2.2927891780350797E-4,0.0020635102602315717,2.2927891780350797E-4,0.0,0.09962168978562422,4.5855783560701593E-4,0.0,0.0,0,-1,-1,-1,-1,unrefactored
3,false,0.22727272727272727,10,45,true,3,0.14285714285714285,0.0,false,false,4,0.10008024762123123,0.04,5.731972945087699E-4,2.2927891780350797E-4,0.006305170239596469,0.0011463945890175398,4.5855783560701593E-4,0.0993924108678207,1.1463945890175398E-4,1.1463945890175398E-4,4.5855783560701593E-4,0,-1,-1,-1,-1,unrefactored
2,false,1.0,9,72,true,3,0.2222222222222222,0.0,false,false,1,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,0.0,6.878367534105239E-4,0.0,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,5,0.0,0.0,0.8,0.0,unrefactored
2,false,0.0,11,102,false,0,0.9,0.0,false,false,1,0.10008024762123123,0.02666666666666667,3.4391837670526195E-4,1.1463945890175398E-4,0.004929496732775421,9.171156712140319E-4,1.1463945890175398E-4,0.09950705032672245,4.5855783560701593E-4,1.1463945890175398E-4,0.0,54,0.0,0.07407407407407407,0.2037037037037037,0.0,unrefactored
3,false,1.0,18,72,false,1,0.4,0.0,false,true,4,0.006419809698498223,0.013333333333333334,2.2927891780350797E-4,0.0,6.878367534105239E-4,1.1463945890175398E-4,2.2927891780350797E-4,0.006190530780694715,0.0,0.0,2.2927891780350797E-4,22,0.22727272727272727,0.0,0.4090909090909091,0.045454545454545456,unrefactored
2,false,1.0,25,201,true,4,0.16666666666666666,0.0,false,false,8,9.171156712140319E-4,0.013333333333333334,1.1463945890175398E-4,0.0,3.4391837670526195E-4,1.1463945890175398E-4,1.1463945890175398E-4,6.878367534105239E-4,1.1463945890175398E-4,1.1463945890175398E-4,0.0,18,0.0,0.05555555555555555,0.3333333333333333,0.0,unrefactored
3,false,1.0,21,142,false,1,0.625,0.0,false,false,1,0.023730367992663075,0.0,0.0,0.0,0.0027513470136420956,3.4391837670526195E-4,0.0,0.023730367992663075,0.0,0.0,0.0,19,0.5263157894736842,0.10526315789473684,0.10526315789473684,0.0,unrefactored
2,false,0.9411764705882353,16,75,false,4,0.1,0.0,false,true,2,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,1.1463945890175398E-4,0.004012381061561389,0.0027513470136420956,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,7,0.0,0.0,0.42857142857142855,0.0,unrefactored
